"node","maccs"
"582757","0000000000000000000000000000000000100011000100011000001001011000001000011000000000000101000000000000010001011001011101000001010111010001010100000111000010101011000101"
"582773","0000000000000000000000000000000000100011000100011010001001111001001000001000000010000001000000000000010001000001000000000001000001000001000000010101110000000011011111"
"582785","0000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000010001000001100000000001111001000000000100101101000100001011011110"
"582802","0000000000000000000000000000000000000100000000000000000000000100010000000100111000100000000110111000000000000101000010111010011000000001100011110100111001011111111110"
"582853","0000000000000000000000000000000001000000000000000100000000000000000000000101000000000000000000000010000000000000000100000000000000000000000010000000100000100001000000"
"582916","0000000000000000000000000000000000000000000000000000000000000000010000010100000001000000110000000000000100011001001101000000010110010000011010000110100110101011000100"
"582987","0000000000000000000000000000100000000000000000010000000000000000000000000100000000000000000000000000010001011001101101000001111111010000000100101111100110101011011110"
"583022","0000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000010000000011000001101000010010110010000000000000010100011101011000100"
"583026","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000010000111101000000001110000000001000110010010100101001011110"
"583267","0000000000000000000000000000001110100000000100001010001001111001001001001000000010000001000001000000011001000001000010000001000001100101001100000101000000010011111111"
"583382","0000000000000000000000000000000000000011000000010010001001011000001000001000000000000001000000000000010001010001111101000001011111010001000000100111000110101011011110"
"583507","0000000000000000000000000000000000000011000000010010101001111001001010001000000010000001100000000000010001000001100000000001001001100001001100110101010100001010011110"
"583530","0000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000010010100010010000001100000000000110000000000000000000100000000001001010"
"583565","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010110010001010110010110110011101011011110"
"583568","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010110010001010110010110110011101011011110"
"583733","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010110010001010110000110100011101011000100"
"583767","0000000000000000000000000000000000000000000000000000010000000000000000010000000001000000111000000010000100011000011101000010010110110000011100000110000111101011000100"
"584149","0000000000000000001000000000000000000000000000000000000000000000000000000010001100001110000110100101001010100110000110011100101010010110110001111011010011010101111110"
"584169","0000000000000000000000000000000001000000000000000100000000000000000000010001000000000000000000010010100010011000000000000010011110010000010000100110000111101011001110"
"584197","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010110010001010110010110110011101011011110"
"584248","0000000000000000000000000000000000000000000000000000000000000000010000000100000010000001011000000000000100010001011101000000000110000000000010000010100000100001000000"
"584253","0000000000000000000000000000000000000000000001000000000000000000000000000001000001000000001000000010000000101000000000000000000010100100011000000000000010101010000100"
"584282","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100010000000000000011000001101000000010110010000010000000110100010101011000100"
"584316","0000000000000000000100000000000000000000000000000000000000000000000000000100000000000100000010000000010000000000000000000001000000000000000000000001100000000001000100"
"584478","0000000000000000000000000000000000000000000000000000000000000000010000000100000001010000011000000001000100010011001100000000000110100000010011000010101010100101100000"
"584584","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000011101000010010110010001010100000110100011101011000100"
"584717","0000000000000000000000000000100000000000000000010000000000000000000000000100000000000000000000000000010001011000101101000001011111010000010010100111100110101011011110"
"584721","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000011101000010010110010000000010000010100011101011000100"
"584722","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001000000010010100000001010110010100110011101011011110"
"584743","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010110010001010110000110100011101011000100"
"584748","0000000000000000000000000000000000000000000000000000000000000000000000000100000001000001001000000000000000011000001101000010010110010000010000000010100011101011000100"
"585035","0000000000000001001001000000000000000000000000000000000010000000010000010100000000100000100000010100100110010001000100010010001000110001101110101100110101001011001110"
"585232","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010110010001010110000110110011101011001110"
"585391","0000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000100000000000000000010100000011010"
"688871","0000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000010000000000011010"
"689549","0000000000000000000000000000000000000000000000000000000000000000000000000100000001010000011000000001000100010010001101000000000110000000000000000010101010100101100000"
"698569","0000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000100011000011101000010010110010000011000000110000011101011000100"
"701200","0000000000000000000000000000000000000000000000000000000000000000010000010100000001000000000000000000000100001001101000000000011000010000011010100010100110101011011110"
"701334","0000000000000000000000000000000000000000000000000010001001111001001000001000000010000001100000000000010000001001100000000001111001000001001100111101010110101010011110"
